symbol,x,y,z,ngram_count,syn_coverage,monster_density,connections
_ZN17rustc_driver_impl15print_wall_help17h8273d3789145978aE,0.355,0.049,12.163,60,0.0,0.5495,5
_ZN4jiff15signed_duration14SignedDuration20try_from_micros_i12817h32a165318de6e2c4E,9.487,0.886,12.155,65,0.0,0.4500,5
_ZN4jiff3fmt8friendly7printer16DesignatorWriter16maybe_write_zero17h5abac2d052015259E,0.278,0.020,12.150,60,0.0,0.5292,5
_ZN4jiff3fmt8friendly7printer16DesignatorWriter16maybe_write_zero3imp17hd87804a96f6c10f6E,3.934,0.217,12.150,65,0.0,0.5039,5
_ZN4jiff3fmt8friendly7printer17FractionalPrinter17must_write_digits17h65520d1cff1127f6E,0.594,0.032,12.150,60,0.0,0.5709,5
_ZN4jiff3fmt8friendly7printer17FractionalPrinter17will_write_digits17h026068d9a18d4428E,0.198,0.017,12.150,60,0.0,0.5598,5
_ZN4jiff3fmt4util13DurationUnits14get_unit_value17h13a69ff0481572ecE,6.271,0.462,12.140,65,0.0,0.4636,5
_ZN4jiff3fmt4util13DurationUnits14get_unit_value7general17h59d703c62137100eE,14.208,0.801,12.140,70,0.0,0.4945,5
_ZN4jiff3fmt4util19duration_unit_value17h7a4209274313811eE,26.983,1.864,12.140,75,0.0,0.4774,5
_ZN4jiff3fmt8friendly6parser10SpanParser16parse_unit_value17hc579f73b4b51884eE,11.876,0.524,12.140,70,0.0,0.3914,5
_ZN4jiff3fmt8friendly6parser10SpanParser21parse_unit_designator17hca6f01695e70b581E,572.678,40.594,12.140,85,0.0,0.4933,0
_ZN4jiff6shared5posix6Parser20parse_posix_datetime17h0c0ee77466befebaE,15.718,1.270,12.094,75,0.0,0.3847,5
_ZN4jiff6shared5posix6Parser15parse_posix_dst17h96d9642bd0074339E,69.955,5.125,12.094,75,0.0,0.4641,3
_ZN4jiff6shared5posix6Parser18parse_posix_offset17hc38c6e61ac2c8ee3E,55.659,4.892,12.094,75,0.0,0.4041,5
_ZN4jiff6shared5posix6Parser16parse_posix_date17h62745d1f068619a5E,26.567,2.072,12.094,75,0.0,0.5380,5
_ZN4jiff6shared5posix6Parser16parse_posix_time17h74dcd7f3547fa9f6E,74.522,6.079,12.094,75,0.0,0.4470,4
_ZN4jiff3fmt8friendly6parser10SpanParser25parse_optional_whitespace17h476021dc93621ef9E,1.764,0.127,12.015,65,0.0,0.4761,5
_ZN4jiff3fmt8friendly6parser10SpanParser20parse_optional_comma17h4a45ba88b586c778E,21.222,1.154,12.015,75,0.0,0.5098,5
_ZN4jiff6shared5posix6Parser19parse_optional_sign17ha0eff0ecb5fcbaceE,3.915,0.322,12.015,65,0.0,0.4816,5
_ZN4jiff3fmt7strtime5parse19parse_optional_sign17hb60413fed4dcc1ebE,10.706,0.686,12.015,70,0.0,0.4871,5
_ZN4jiff3fmt8friendly7printer16DesignatorWriter25write_fractional_duration17h6c8c1ba22ee22cdbE,6.460,0.410,12.009,65,0.0,0.5132,5
_ZN17rustc_driver_impl26show_md_content_with_pager17h6611f8c74e9aa51aE,221.795,16.962,11.985,85,0.0,0.5024,0
_ZN72_$LT$sharded_slab..page..slot..State$u20$as$u20$core..cmp..PartialEq$GT$2eq17ha68a483e917f395bE,0.269,0.013,11.966,60,0.0,0.5212,5
_ZN62_$LT$sharded_slab..page..Local$u20$as$u20$core..fmt..Debug$GT$3fmt28_$u7b$$u7b$closure$u7d$$u7d$17hebf0d203044ff7dfE,6.519,0.444,11.966,65,0.0,0.4998,5
